0x0L,MOV             W3, W1  ; Alternative name is '$x'
0x4L,MOV             W1, W2
0x8L,CMN             W3, #1
0xcL,B.EQ            loc_18
0x10L,MOV             W0, W3
0x14L,B               loc_14
0x18L,B               loc_18
0x20L,MOV             W0, #0
0x24L,RET
0x28L,STP             X29, X30, [SP,#-0x10+var_20]!
0x2cL,MOV             W1, W3
0x30L,MOV             X29, SP
0x34L,STP             X19, X20, [SP,#0x20+var_10]
0x38L,MOV             X20, X2
0x3cL,MOV             W2, W4
0x40L,MOV             X0, X20
0x44L,STR             X21, [SP,#0x20+var_s0]
0x48L,BL              sub_48
0x4cL,MOV             W19, W0
0x50L,CBZ             W0, loc_7C
0x54L,BL              sub_54
0x58L,LDR             W21, [X0]
0x5cL,MOV             X0, X20
0x60L,BL              sub_60
0x64L,MOV             X3, X0
0x68L,ADRP            X2, #chmod_or_fchmod@PAGE
0x6cL,MOV             W1, W21
0x70L,ADD             X2, X2, #chmod_or_fchmod@PAGEOFF
0x74L,MOV             W0, #0
0x78L,BL              sub_78
0x7cL,MOV             W0, W19
0x80L,LDR             X21, [SP,#arg_20]
0x84L,LDP             X19, X20, [SP,#arg_10]
0x88L,LDP             X29, X30, [SP+arg_0],#0x30
0x8cL,RET
0x90L,STP             X29, X30, [SP,#-0x10+var_20]!
0x94L,MOV             X29, SP
0x98L,STP             X19, X20, [SP,#0x20+var_10]
0x9cL,STR             X21, [SP,#0x20+var_s0]
0xa0L,MOV             X20, X0
0xa4L,BL              sub_A4
0xa8L,MOV             W19, W0
0xacL,CBZ             W0, loc_D8
0xb0L,BL              sub_B0
0xb4L,LDR             W21, [X0]
0xb8L,MOV             X0, X20
0xbcL,BL              sub_BC
0xc0L,MOV             X3, X0
0xc4L,ADRP            X2, #chmod_or_fchmod@PAGE
0xc8L,MOV             W1, W21
0xccL,ADD             X2, X2, #chmod_or_fchmod@PAGEOFF
0xd0L,MOV             W0, #0
0xd4L,BL              sub_D4
0xd8L,MOV             W0, W19
0xdcL,LDR             X21, [SP,#arg_20]
0xe0L,LDP             X19, X20, [SP,#arg_10]
0xe4L,LDP             X29, X30, [SP+arg_0],#0x30
0xe8L,RET
0x0L,CMN             X0, #0x10; Alternative name is '$x'
0x4L,B.CS            loc_68
0x8L,STP             X29, X30, [SP,#var_10]!
0xcL,ADD             X0, X0, #0x10
0x10L,MOV             X29, SP
0x14L,BL              sub_14
0x18L,MOV             X2, X0
0x1cL,CBZ             X0, loc_70
0x20L,MOV             X1, #0xFF00FF00FF00FF00
