0x0L,CMN             W1, #1  ; Alternative name is '$x'
0x4L,B.EQ            loc_14
0x8L,MOV             W0, W1
0xcL,MOV             W1, W2
0x10L,B               loc_10
0x14L,MOV             W1, W2
0x18L,B               loc_18
0x1cL,MOV             W0, #0
0x20L,RET
0x24L,STP             X29, X30, [SP,#-0x10+var_20]!
0x28L,CMN             W3, #1
0x2cL,MOV             X29, SP
0x30L,STP             X19, X20, [SP,#0x20+var_10]
0x34L,MOV             X20, X2
0x38L,B.EQ            loc_8C
0x3cL,MOV             W0, W3
0x40L,MOV             W1, W4
0x8cL,MOV             X0, X2
0x90L,MOV             W1, W4
0x44L,BL              sub_44
0x48L,MOV             W19, W0
0x4cL,CBZ             W19, loc_7C
0x50L,BL              sub_50
0x54L,LDR             W1, [X0]
0x58L,MOV             X0, X20
0x5cL,STR             X1, [X29,#0x28]
0x60L,BL              sub_60
0x64L,MOV             X3, X0
0x68L,ADRP            X2, #chmod_or_fchmod@PAGE
0x6cL,LDR             X1, [X29,#0x28]
0x70L,MOV             W0, #0
0x74L,ADD             X2, X2, #chmod_or_fchmod@PAGEOFF
0x78L,BL              sub_78
0x7cL,MOV             W0, W19
0x80L,LDP             X19, X20, [SP,#arg_10]
0x84L,LDP             X29, X30, [SP+arg_0],#0x30
0x88L,RET
0x94L,BL              sub_94
0x98L,MOV             W19, W0
0x9cL,B               loc_4C
0xa0L,STP             X29, X30, [SP,#-0x10+var_20]!
0xa4L,CMN             W1, #1
0xa8L,MOV             X29, SP
0xacL,STP             X19, X20, [SP,#0x20+var_10]
0xb0L,MOV             X20, X0
0xb4L,B.EQ            loc_108
0xb8L,MOV             W0, W1
0xbcL,MOV             W1, W2
0x108L,MOV             W1, W2
0xc0L,BL              sub_C0
0xc4L,MOV             W19, W0
0xc8L,CBZ             W19, loc_F8
0xccL,BL              sub_CC
0xd0L,LDR             W1, [X0]
0xd4L,MOV             X0, X20
0xd8L,STR             X1, [X29,#0x28]
0xdcL,BL              sub_DC
0xe0L,MOV             X3, X0
0xe4L,ADRP            X2, #chmod_or_fchmod@PAGE
0xe8L,LDR             X1, [X29,#0x28]
0xecL,MOV             W0, #0
0xf0L,ADD             X2, X2, #chmod_or_fchmod@PAGEOFF
0xf4L,BL              sub_F4
0xf8L,MOV             W0, W19
0xfcL,LDP             X19, X20, [SP,#arg_10]
0x100L,LDP             X29, X30, [SP+arg_0],#0x30
0x104L,RET
0x10cL,BL              sub_10C
0x110L,MOV             W19, W0
0x114L,B               loc_C8
0x0L,STP             X29, X30, [SP,#-0x10+var_s0]!; Alternative name is '$x'
0x4L,CMN             X0, #0x10
0x8L,ADD             X0, X0, #0x10
0xcL,MOV             X29, SP
0x10L,B.CS            loc_68
0x14L,BL              sub_14
0x18L,MOV             X3, X0
0x1cL,CBZ             X0, loc_68
0x20L,MOV             X2, #0xFF00FF00FF00FF00
0x24L,ADD             X5, X0, #0x10
0x28L,ADD             X2, X2, #1
0x2cL,MOV             W1, #0xFB4A
0x30L,MOVK            W1, #0x1415,LSL#16
0x34L,STR             W1, [X3,#0xC]
0x38L,UMULH           X2, X5, X2
0x3cL,ADRP            X4, #mallocsa@PAGE
0x40L,MOV             X0, X5
0x44L,UBFM            X1, X2, #8, #0x3F
0x48L,ADD             X4, X4, #mallocsa@PAGEOFF
0x4cL,ADD             X1, X1, X1,LSL#8
0x50L,SUB             X1, X5, X1
0x54L,LDR             X2, [X4,X1,LSL#3]
0x58L,STR             X2, [X3]
0x5cL,STR             X5, [X4,X1,LSL#3]
0x60L,LDP             X29, X30, [SP+arg_0],#0x10
0x64L,RET
0x68L,MOV             X0, #0
0x6cL,LDP             X29, X30, [SP+arg_0],#0x10
0x70L,RET
0x74L,CBZ             X0, locret_8C
0x78L,LDUR            W2, [X0,#-4]
0x7cL,MOV             W1, #0xFB4A
0x80L,MOVK            W1, #0x1415,LSL#16
0x84L,CMP             W2, W1
0x88L,B.EQ            loc_90
0x8cL,RET
0x90L,MOV             X3, #0xFF00FF00FF00FF00
0x94L,ADRP            X2, #mallocsa@PAGE
0x98L,ADD             X3, X3, #1
0x9cL,ADD             X4, X2, #mallocsa@PAGEOFF
0xa0L,UMULH           X3, X0, X3
0xa4L,UBFM            X1, X3, #8, #0x3F
0xa8L,ADD             X2, X1, X1,LSL#8
0xacL,SUB             X1, X0, X2
0xb0L,LDR             X2, [X4,X1,LSL#3]
0xb4L,CBZ             X2, locret_8C
0xb8L,CMP             X0, X2
0xbcL,B.NE            loc_CC
0xc0L,B               loc_EC
0xc4L,B.EQ            loc_DC
0xc8L,MOV             X2, X1
0xccL,LDUR            X1, [X2,#-0x10]
0xd0L,CMP             X0, X1
0xd4L,CBNZ            X1, loc_C4
0xd8L,B               locret_8C
0xdcL,SUB             X2, X2, #0x10
0xe0L,LDR             X1, [X0,#-0x10]!
0xe4L,STR             X1, [X2]
0xe8L,B               loc_E8
0xecL,ADD             X2, X4, X1,LSL#3
0xf0L,B               loc_E0
0x0L,MOV             W0, #1  ; Alternative name is '$x'
0x4L,B               loc_4
0x8L,STP             X29, X30, [SP,#-0x10+var_50]!
0xcL,MOV             X29, SP
0x10L,STP             X25, X26, [SP,#0x50+var_10]
0x14L,MOV             X25, X1
0x18L,MOV             X26, X0
0x1cL,STP             X19, X20, [SP,#0x50+var_40]
0x20L,STP             X21, X22, [SP,#0x50+var_30]
0x24L,STP             X23, X24, [SP,#0x50+var_20]
0x28L,STP             X27, X28, [SP,#0x50+var_s0]
0x2cL,MOV             X22, X3
0x30L,MOV             X28, X2
0x34L,BL              sub_34
0x38L,LDR             X19, [X25]
0x3cL,MOV             X23, X0
0x40L,CBZ             X19, loc_164
0x44L,CBZ             X28, loc_108
0x48L,MOV             X21, X28
0x4cL,MOV             W27, #0
0x50L,MOV             X24, #0xFFFFFFFFFFFFFFFF
0x54L,MOV             X20, #0
0x58L,B               loc_78
0x108L,MOV             W27, W28
0x10cL,MOV             X24, #0xFFFFFFFFFFFFFFFF
0x110L,MOV             X20, X28
0x114L,B               loc_128
0x128L,MOV             X0, X19
0x12cL,MOV             X1, X26
0x130L,MOV             X2, X23
0x164L,MOV             X24, #0xFFFFFFFFFFFFFFFF
0x168L,B               loc_C8
0x5cL,BL              sub_5C
0x60L,CMP             W0, WZR
0x64L,CSINC           W27, W27, WZR, EQ
0x68L,ADD             X20, X20, #1
0x6cL,ADD             X21, X21, X22
0x70L,LDR             X19, [X25,X20,LSL#3]
0x74L,CBZ             X19, loc_C4
0x78L,MOV             X1, X26
0x7cL,MOV             X2, X23
0x80L,MOV             X0, X19
0x84L,BL              sub_84
0x88L,CBNZ            W0, loc_68
0x8cL,MOV             X0, X19
0x90L,BL              sub_90
0x94L,CMP             X0, X23
0x98L,MOV             X1, X21
0x9cL,MOV             X2, X22
0xa0L,MADD            X0, X24, X22, X28
0xa4L,B.EQ            loc_E8
0xa8L,CMN             X24, #1
0xacL,B.NE            sub_5C
0xb0L,MOV             X24, X20
0xb4L,ADD             X20, X20, #1
0xb8L,ADD             X21, X21, X22
0xbcL,LDR             X19, [X25,X20,LSL#3]
0xc0L,CBNZ            X19, loc_78
0xc4L,CBNZ            W27, loc_15C
0xc8L,MOV             X0, X24
0xccL,LDP             X19, X20, [SP,#arg_10]
0xd0L,LDP             X21, X22, [SP,#arg_20]
0xd4L,LDP             X23, X24, [SP,#arg_30]
0xd8L,LDP             X25, X26, [SP,#arg_40]
0xdcL,LDP             X27, X28, [SP,#arg_50]
0xe0L,LDP             X29, X30, [SP+arg_0],#0x60
0xe4L,RET
0xe8L,MOV             X0, X20
0xecL,LDP             X19, X20, [SP,#arg_10]
0xf0L,LDP             X21, X22, [SP,#arg_20]
0xf4L,LDP             X23, X24, [SP,#arg_30]
0xf8L,LDP             X25, X26, [SP,#arg_40]
0xfcL,LDP             X27, X28, [SP,#arg_50]
0x100L,LDP             X29, X30, [SP+arg_0],#0x60
0x104L,RET
0x15cL,MOV             X0, #0xFFFFFFFFFFFFFFFE
0x160L,B               loc_CC
0x134L,BL              sub_134
0x138L,CBNZ            W0, loc_11C
0x13cL,MOV             X0, X19
0x11cL,ADD             X20, X20, #1
0x120L,LDR             X19, [X25,X20,LSL#3]
0x124L,CBZ             X19, loc_C4
0x140L,BL              sub_140
0x144L,CMP             X0, X23
0x148L,B.EQ            loc_E8
0x14cL,CMN             X24, #1
0x150L,B.NE            loc_118
0x154L,MOV             X24, X20
0x158L,B               loc_11C
0x118L,MOV             W27, #1
0x16cL,STP             X29, X30, [SP,#-0x10+var_20]!
0x170L,CMN             X2, #1
0x174L,MOV             X29, SP
0x178L,STP             X19, X20, [SP,#0x20+var_10]
0x17cL,MOV             X20, X0
0x180L,B.EQ            loc_1CC
0x184L,ADRP            X19, #__argmatch_die@PAGE
0x188L,ADD             X19, X19, #__argmatch_die@PAGEOFF
0x18cL,MOV             X2, X1
0x190L,MOV             W0, #0
0x194L,MOV             W1, #5
0x1ccL,ADRP            X19, #__argmatch_die@PAGE
0x1d0L,ADD             X19, X19, #__argmatch_die@PAGEOFF
0x1d4L,B               loc_18C
0x198L,BL              sub_198
0x19cL,STR             X0, [X29,#0x28]
0x1a0L,MOV             X1, X20
0x1a4L,MOV             W0, #1
0x1a8L,BL              sub_1A8
0x1acL,MOV             X4, X0
0x1b0L,MOV             X2, X19
0x1b4L,MOV             W0, #0
0x1b8L,LDR             X3, [X29,#0x28]
0x1bcL,MOV             W1, W0
0x1c0L,LDP             X19, X20, [SP,#arg_10]
0x1c4L,LDP             X29, X30, [SP+arg_0],#0x30
0x1c8L,B               loc_1C8
0x1d8L,STP             X29, X30, [SP,#-0x10+var_50]!
0x1dcL,MOV             X29, SP
0x1e0L,STP             X23, X24, [SP,#0x50+var_20]
0x1e4L,ADRP            X24, #__argmatch_die@PAGE
0x1e8L,STR             X27, [SP,#0x50+var_s0]
0x1ecL,STP             X25, X26, [SP,#0x50+var_10]
0x1f0L,MOV             X25, X0
0x1f4L,ADRP            X0, #__argmatch_die@PAGE
0x1f8L,LDR             X3, [X24,#__argmatch_die@PAGEOFF]
0x1fcL,ADD             X0, X0, #__argmatch_die@PAGEOFF
0x200L,STP             X21, X22, [SP,#0x50+var_30]
0x204L,STP             X19, X20, [SP,#0x50+var_40]
0x208L,MOV             X22, X2
0x20cL,MOV             X20, X1
0x210L,MOV             X2, #0x14
0x214L,MOV             X1, #1
0x218L,BL              sub_218
0x21cL,LDR             X21, [X25]
0x220L,CBZ             X21, loc_29C
0x224L,MOV             X23, #0
0x228L,ADRP            X26, #__argmatch_die@PAGE
0x22cL,ADRP            X27, #__argmatch_die@PAGE
0x230L,MOV             X19, X23
0x234L,ADD             X26, X26, #__argmatch_die@PAGEOFF
0x238L,ADD             X27, X27, #__argmatch_die@PAGEOFF
0x23cL,B               loc_264
0x258L,BL              sub_258
0x25cL,LDR             X21, [X25,X19,LSL#3]
0x260L,CBZ             X21, loc_29C
0x264L,MOV             X1, X20
0x268L,MOV             X2, X22
0x26cL,MOV             X0, X23
0x270L,CBZ             X19, loc_240
0x240L,LDR             X0, [X24]
0x244L,ADD             X19, X19, #1
0x248L,MOV             X2, X21
0x24cL,MOV             X1, X26
0x250L,MOV             X23, X20
0x254L,ADD             X20, X20, X22
0x274L,BL              sub_274
0x278L,CBNZ            W0, loc_240
0x27cL,LDR             X0, [X24]
0x280L,ADD             X19, X19, #1
0x284L,MOV             X2, X21
0x288L,MOV             X1, X27
0x28cL,ADD             X20, X20, X22
0x290L,BL              sub_290
0x294L,LDR             X21, [X25,X19,LSL#3]
0x298L,CBNZ            X21, loc_264
0x29cL,LDR             X0, [X24]
0x2a0L,LDR             X1, [X0,#0x28]
0x2a4L,LDR             X2, [X0,#0x30]
0x2a8L,CMP             X1, X2
0x2acL,B.CS            loc_2DC
0x2b0L,ADD             X2, X1, #1
0x2b4L,STR             X2, [X0,#0x28]
0x2b8L,MOV             W0, #0xA
0x2bcL,STRB            W0, [X1]
0x2c0L,LDP             X19, X20, [SP,#arg_10]
0x2c4L,LDP             X21, X22, [SP,#arg_20]
0x2c8L,LDP             X23, X24, [SP,#arg_30]
0x2ccL,LDP             X25, X26, [SP,#arg_40]
