0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,sub     rsp, 10h
0x8L,mov     [rbp+file], rdi
0xcL,mov     [rbp+fd], esi
0xfL,mov     [rbp+mode], edx
0x12L,cmp     [rbp+fd], 0FFFFFFFFh
0x16L,jz      short loc_29
0x18L,mov     edx, [rbp+mode]
0x1bL,mov     eax, [rbp+fd]
0x1eL,mov     esi, edx        ; mode
0x20L,mov     edi, eax        ; fd
0x22L,call    fchmod
0x27L,jmp     short locret_3A
0x29L,mov     edx, [rbp+mode]
0x2cL,mov     rax, [rbp+file]
0x30L,mov     esi, edx        ; mode
0x32L,mov     rdi, rax        ; file
0x35L,call    chmod
0x3aL,leave
0x3bL,retn
0x3cL,push    rbp
0x3dL,mov     rbp, rsp
0x40L,mov     [rbp+var_8], rdi
0x44L,mov     [rbp+var_10], rsi
0x48L,mov     eax, 0
0x4dL,pop     rbp
0x4eL,retn
0x4fL,push    rbp
0x50L,mov     rbp, rsp
0x53L,push    rbx
0x54L,sub     rsp, 38h
0x58L,mov     [rbp+var_28], rdi
0x5cL,mov     [rbp+var_2C], esi
0x5fL,mov     [rbp+var_38], rdx
0x63L,mov     [rbp+var_30], ecx
0x66L,mov     [rbp+var_3C], r8d
0x6aL,mov     edx, [rbp+var_3C]
0x6dL,mov     ecx, [rbp+var_30]
0x70L,mov     rax, [rbp+var_38]
0x74L,mov     esi, ecx
0x76L,mov     rdi, rax
0x79L,call    chmod_or_fchmod
0x7eL,mov     [rbp+var_14], eax
0x81L,cmp     [rbp+var_14], 0
0x85L,jz      short loc_B6
0x87L,mov     rax, [rbp+var_38]
0x8bL,mov     rdi, rax
0x8eL,call    quote
0x93L,mov     rbx, rax
0x96L,call    __errno_location
0x9bL,mov     eax, [rax]
0x9dL,mov     rcx, rbx
0xa0L,mov     edx, offset format; "preserving permissions for %s"
0xa5L,mov     esi, eax        ; errnum
0xa7L,mov     edi, 0          ; status
0xacL,mov     eax, 0
0xb1L,call    error
0xb6L,mov     eax, [rbp+var_14]
0xb9L,add     rsp, 38h
0xbdL,pop     rbx
0xbeL,pop     rbp
0xbfL,retn
0xc0L,push    rbp
0xc1L,mov     rbp, rsp
0xc4L,push    rbx
0xc5L,sub     rsp, 28h
0xc9L,mov     [rbp+var_28], rdi
0xcdL,mov     [rbp+var_2C], esi
0xd0L,mov     [rbp+var_30], edx
0xd3L,mov     edx, [rbp+var_30]
0xd6L,mov     ecx, [rbp+var_2C]
0xd9L,mov     rax, [rbp+var_28]
0xddL,mov     esi, ecx
0xdfL,mov     rdi, rax
0xe2L,call    chmod_or_fchmod
0xe7L,mov     [rbp+var_14], eax
0xeaL,cmp     [rbp+var_14], 0
0xeeL,jz      short loc_11F
0xf0L,mov     rax, [rbp+var_28]
0xf4L,mov     rdi, rax
0xf7L,call    quote
0xfcL,mov     rbx, rax
0xffL,call    __errno_location
0x104L,mov     eax, [rax]
0x106L,mov     rcx, rbx
0x109L,mov     edx, offset aSettingPermiss; "setting permissions for %s"
0x10eL,mov     esi, eax        ; errnum
0x110L,mov     edi, 0          ; status
0x115L,mov     eax, 0
0x11aL,call    error
0x11fL,mov     eax, [rbp+var_14]
0x122L,add     rsp, 28h
0x126L,pop     rbx
0x127L,pop     rbp
0x128L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,sub     rsp, 30h
0x8L,mov     [rbp+var_28], rdi
0xcL,mov     rax, [rbp+var_28]
0x10L,add     rax, 10h
0x14L,mov     [rbp+size], rax
0x18L,mov     rax, [rbp+size]
0x1cL,cmp     rax, [rbp+var_28]
0x20L,jb      loc_B4
0x26L,mov     rax, [rbp+size]
0x2aL,mov     rdi, rax        ; size
0x2dL,call    malloc
0x32L,mov     [rbp+var_10], rax
0x36L,cmp     [rbp+var_10], 0
0x3bL,jz      short loc_B4
0x3dL,add     [rbp+var_10], 10h
0x42L,mov     rax, [rbp+var_10]
0x46L,sub     rax, 4
0x4aL,mov     dword ptr [rax], 1415FB4Ah
0x50L,mov     rcx, [rbp+var_10]
0x54L,mov     rdx, 0FF00FF00FF00FF01h
0x5eL,mov     rax, rcx
0x61L,mul     rdx
0x64L,mov     rax, rdx
0x67L,shr     rax, 8
0x6bL,mov     [rbp+var_18], rax
0x6fL,mov     rdx, [rbp+var_18]
0x73L,mov     rax, rdx
0x76L,shl     rax, 8
0x7aL,add     rax, rdx
0x7dL,sub     rcx, rax
0x80L,mov     rax, rcx
0x83L,mov     [rbp+var_18], rax
0x87L,mov     rax, [rbp+var_10]
0x8bL,lea     rdx, [rax-10h]
0x8fL,mov     rax, [rbp+var_18]
0x93L,mov     rax, ds:mallocsa_results[rax*8]
0x9bL,mov     [rdx], rax
0x9eL,mov     rax, [rbp+var_18]
0xa2L,mov     rdx, [rbp+var_10]
0xa6L,mov     ds:mallocsa_results[rax*8], rdx
0xaeL,mov     rax, [rbp+var_10]
0xb2L,jmp     short locret_B9
0xb4L,mov     eax, 0
0xb9L,leave
0xbaL,retn
0xbbL,push    rbp
0xbcL,mov     rbp, rsp
0xbfL,sub     rsp, 30h
0xc3L,mov     [rbp+var_28], rdi
0xc7L,cmp     [rbp+var_28], 0
0xccL,jz      locret_182
0xd2L,mov     rax, [rbp+var_28]
0xd6L,sub     rax, 4
0xdaL,mov     eax, [rax]
0xdcL,cmp     eax, 1415FB4Ah
0xe1L,jnz     locret_182
0xe7L,mov     rcx, [rbp+var_28]
0xebL,mov     rdx, 0FF00FF00FF00FF01h
0xf5L,mov     rax, rcx
0xf8L,mul     rdx
0xfbL,mov     rax, rdx
0xfeL,shr     rax, 8
0x102L,mov     [rbp+var_10], rax
0x106L,mov     rdx, [rbp+var_10]
0x10aL,mov     rax, rdx
0x10dL,shl     rax, 8
0x111L,add     rax, rdx
0x114L,sub     rcx, rax
0x117L,mov     rax, rcx
0x11aL,mov     [rbp+var_10], rax
0x11eL,mov     rax, [rbp+var_10]
