0x8000000L,sub     esp, 0Ch
0x8000003L,mov     eax, [esp+0Ch+fd]
0x8000007L,cmp     eax, 0FFFFFFFFh
0x800000aL,jz      short loc_800001E
0x800000cL,sub     esp, 8
0x800000fL,push    [esp+14h+mode]  ; mode
0x8000013L,push    eax             ; fd
0x8000014L,call    fchmod
0x8000019L,add     esp, 10h
0x800001cL,jmp     short loc_8000031
0x800001eL,sub     esp, 8
0x8000021L,push    [esp+14h+mode]  ; mode
0x8000025L,push    [esp+18h+file]  ; file
0x8000029L,call    chmod
0x800002eL,add     esp, 10h
0x8000031L,add     esp, 0Ch
0x8000034L,retn
0x8000035L,mov     eax, 0
0x800003aL,retn
0x800003bL,push    edi
0x800003cL,push    esi
0x800003dL,push    ebx
0x800003eL,mov     esi, [esp+0Ch+file]
0x8000042L,sub     esp, 4
0x8000045L,push    [esp+10h+mode]  ; mode
0x8000049L,push    [esp+14h+fd]    ; fd
0x800004dL,push    esi             ; file
0x800004eL,call    chmod_or_fchmod
0x8000053L,mov     ebx, eax
0x8000055L,add     esp, 10h
0x8000058L,test    eax, eax
0x800005aL,jz      short loc_800008D
0x800005cL,sub     esp, 0Ch
0x800005fL,push    esi
0x8000060L,call    quote
0x8000065L,mov     edi, eax
0x8000067L,add     esp, 0Ch
0x800006aL,push    5               ; category
0x800006cL,push    offset msgid    ; "preserving permissions for %s"
0x8000071L,push    0               ; domainname
0x8000073L,call    dcgettext
0x8000078L,mov     esi, eax
0x800007aL,call    __errno_location
0x800007fL,push    edi
0x8000080L,push    esi             ; format
0x8000081L,push    dword ptr [eax] ; errnum
0x8000083L,push    0               ; status
0x8000085L,call    error
0x800008aL,add     esp, 20h
0x800008dL,mov     eax, ebx
0x800008fL,pop     ebx
0x8000090L,pop     esi
0x8000091L,pop     edi
0x8000092L,retn
0x8000093L,push    edi
0x8000094L,push    esi
0x8000095L,push    ebx
0x8000096L,mov     esi, [esp+0Ch+file]
0x800009aL,sub     esp, 4
0x800009dL,push    [esp+10h+mode]  ; mode
0x80000a1L,push    [esp+14h+fd]    ; fd
0x80000a5L,push    esi             ; file
0x80000a6L,call    chmod_or_fchmod
0x80000abL,mov     ebx, eax
0x80000adL,add     esp, 10h
0x80000b0L,test    eax, eax
0x80000b2L,jz      short loc_80000E5
0x80000b4L,sub     esp, 0Ch
0x80000b7L,push    esi
0x80000b8L,call    quote
0x80000bdL,mov     edi, eax
0x80000bfL,add     esp, 0Ch
0x80000c2L,push    5               ; category
0x80000c4L,push    offset aSettingPermiss; "setting permissions for %s"
0x80000c9L,push    0               ; domainname
0x80000cbL,call    dcgettext
0x80000d0L,mov     esi, eax
0x80000d2L,call    __errno_location
0x80000d7L,push    edi
0x80000d8L,push    esi             ; format
0x80000d9L,push    dword ptr [eax] ; errnum
0x80000dbL,push    0               ; status
0x80000ddL,call    error
0x80000e2L,add     esp, 20h
0x80000e5L,mov     eax, ebx
0x80000e7L,pop     ebx
0x80000e8L,pop     esi
0x80000e9L,pop     edi
0x80000eaL,retn
0x8000000L,push    esi
0x8000001L,push    ebx
0x8000002L,sub     esp, 4
0x8000005L,mov     eax, [esp+0Ch+arg_0]
0x8000009L,lea     edx, [eax+8]
0x800000cL,cmp     eax, edx
0x800000eL,ja      short loc_800004E
0x8000010L,sub     esp, 0Ch
0x8000013L,push    edx             ; size
0x8000014L,call    malloc
0x8000019L,mov     ebx, eax
0x800001bL,add     esp, 10h
0x800001eL,test    eax, eax
0x8000020L,jz      short loc_8000055
0x8000022L,lea     ecx, [eax+8]
0x8000025L,mov     dword ptr [eax+4], 1415FB4Ah
0x800002cL,mov     esi, 101h
0x8000031L,mov     eax, ecx
0x8000033L,mov     edx, 0
0x8000038L,div     esi
0x800003aL,mov     eax, ds:mallocsa_results[edx*4]
0x8000041L,mov     [ebx], eax
0x8000043L,mov     ds:mallocsa_results[edx*4], ecx
0x800004aL,mov     eax, ecx
0x800004cL,jmp     short loc_800005A
0x800004eL,mov     eax, 0
0x8000053L,jmp     short loc_800005A
0x8000055L,mov     eax, 0
0x800005aL,add     esp, 4
0x800005dL,pop     ebx
0x800005eL,pop     esi
0x800005fL,retn
0x8000060L,push    ebx
0x8000061L,sub     esp, 8
0x8000064L,mov     ebx, [esp+0Ch+arg_0]
0x8000068L,test    ebx, ebx
0x800006aL,jz      short loc_80000C1
0x800006cL,cmp     dword ptr [ebx-4], 1415FB4Ah
0x8000073L,jnz     short loc_80000C1
0x8000075L,mov     ecx, 101h
0x800007aL,mov     eax, ebx
0x800007cL,mov     edx, 0
0x8000081L,div     ecx
0x8000083L,mov     ecx, ds:mallocsa_results[edx*4]
0x800008aL,test    ecx, ecx
0x800008cL,jz      short loc_80000C1
0x800008eL,cmp     ebx, ecx
0x8000090L,jnz     short loc_80000BA
0x8000092L,lea     ecx, mallocsa_results[edx*4]
0x8000099L,jmp     short loc_80000A2
0x800009bL,cmp     ebx, eax
0x800009dL,jnz     short loc_80000B8
0x800009fL,sub     ecx, 8
0x80000a2L,mov     eax, [ebx-8]
0x80000a5L,mov     [ecx], eax
0x80000a7L,sub     esp, 0Ch
0x80000aaL,sub     ebx, 8
0x80000adL,push    ebx             ; ptr
0x80000aeL,call    free
0x80000b3L,add     esp, 10h
0x80000b6L,jmp     short loc_80000C1
0x80000b8L,mov     ecx, eax
0x80000baL,mov     eax, [ecx-8]
0x80000bdL,test    eax, eax
0x80000bfL,jnz     short loc_800009B
0x80000c1L,add     esp, 8
0x80000c4L,pop     ebx
0x80000c5L,retn
0x8000000L,sub     esp, 18h
0x8000003L,push    1
0x8000005L,call    usage
0x800000aL,add     esp, 1Ch
0x800000dL,retn
0x800000eL,push    ebp
0x800000fL,push    edi
0x8000010L,push    esi
0x8000011L,push    ebx
0x8000012L,sub     esp, 1Ch
0x8000015L,mov     al, 0
0x8000017L,mov     ecx, 0FFFFFFFFh
0x800001cL,mov     edi, [esp+2Ch+s2]
0x8000020L,repne scasb
0x8000022L,mov     eax, [esp+2Ch+arg_4]
0x8000026L,mov     edi, [eax]
0x8000028L,test    edi, edi
0x800002aL,jz      loc_80000D3
0x8000030L,not     ecx
0x8000032L,lea     ebp, [ecx-1]
0x8000035L,mov     esi, [esp+2Ch+arg_8]
0x8000039L,mov     [esp+2Ch+var_1D], 0
0x800003eL,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x8000046L,mov     ebx, 0
0x800004bL,sub     esp, 4
0x800004eL,push    ebp             ; n
0x800004fL,push    [esp+34h+s2]    ; s2
0x8000053L,push    edi             ; s1
0x8000054L,call    strncmp
