0x8000000L,mov     eax, [esp+mode]
0x8000004L,mov     edx, [esp+arg_8]
0x8000008L,mov     ecx, [esp+fd]
0x800000cL,mov     [esp+mode], edx ; mode
0x8000010L,cmp     eax, 0FFFFFFFFh
0x8000013L,jz      short loc_8000020
0x8000015L,mov     [esp+fd], eax   ; fd
0x8000019L,jmp     fchmod
0x8000020L,mov     [esp+fd], ecx   ; file
0x8000024L,jmp     chmod
0x8000030L,xor     eax, eax
0x8000032L,retn
0x8000040L,push    esi
0x8000041L,push    ebx
0x8000042L,push    ebx
0x8000043L,mov     eax, [esp+0Ch+fd]
0x8000047L,cmp     eax, 0FFFFFFFFh
0x800004aL,jz      short loc_8000090
0x800004cL,push    edx
0x800004dL,push    edx
0x800004eL,mov     ecx, [esp+14h+mode]
0x8000052L,push    ecx             ; mode
0x8000053L,push    eax             ; fd
0x8000054L,call    fchmod
0x8000059L,add     esp, 10h
0x800005cL,mov     ebx, eax
0x800005eL,test    ebx, ebx
0x8000060L,jz      short loc_8000089
0x8000062L,sub     esp, 0Ch
0x8000065L,mov     ecx, [esp+18h+file]
0x8000069L,push    ecx
0x800006aL,call    quote
0x800006fL,mov     esi, eax
0x8000071L,call    __errno_location
0x8000076L,push    esi
0x8000077L,push    offset format   ; "preserving permissions for %s"
0x800007cL,mov     esi, [eax]
0x800007eL,push    esi             ; errnum
0x800007fL,push    0               ; status
0x8000081L,call    error
0x8000086L,add     esp, 20h
0x8000089L,mov     eax, ebx
0x800008bL,pop     edx
0x800008cL,pop     ebx
0x800008dL,pop     esi
0x800008eL,retn
0x8000090L,push    eax
0x8000091L,push    eax
0x8000092L,mov     eax, [esp+14h+mode]
0x8000096L,push    eax             ; mode
0x8000097L,mov     eax, [esp+18h+file]
0x800009bL,push    eax             ; file
0x800009cL,call    chmod
0x80000a1L,add     esp, 10h
0x80000a4L,mov     ebx, eax
0x80000a6L,jmp     short loc_800005E
0x80000b0L,push    esi
0x80000b1L,push    ebx
0x80000b2L,push    ebx
0x80000b3L,mov     eax, [esp+0Ch+fd]
0x80000b7L,cmp     eax, 0FFFFFFFFh
0x80000baL,jz      short loc_8000100
0x80000bcL,push    edx
0x80000bdL,push    edx
0x80000beL,mov     ecx, [esp+14h+mode]
0x80000c2L,push    ecx             ; mode
0x80000c3L,push    eax             ; fd
0x80000c4L,call    fchmod
