0x0L,STP             X29, X30, [SP,#-0x10+var_10]!; Alternative name is '$x'
0x4L,MOV             X29, SP
0x8L,STR             X0, [X29,#0x10+var_s8]
0xcL,STR             W1, [X29,#0x10+var_s4]
0x10L,STR             W2, [X29,#0x10+var_s0]
0x14L,LDR             W0, [X29,#0x10+var_s4]
0x18L,CMN             W0, #1
0x1cL,B.EQ            loc_30
0x20L,LDR             W0, [X29,#0x10+var_s4]
0x24L,LDR             W1, [X29,#0x10+var_s0]
0x30L,LDR             X0, [X29,#arg_8]
0x34L,LDR             W1, [X29,#arg_0]
0x28L,BL              sub_28
0x2cL,B               loc_3C
0x38L,BL              sub_38
0x3cL,LDP             X29, X30, [SP+arg_0],#0x20
0x40L,RET
0x44L,SUB             SP, SP, #0x10
0x48L,STR             X0, [SP,#0x10+var_8]
0x4cL,STR             X1, [SP,#0x10+var_10]
0x50L,MOV             W0, #0
0x54L,ADD             SP, SP, #0x10
0x58L,RET
0x5cL,STP             X29, X30, [SP,#-0x10+var_40]!
0x60L,MOV             X29, SP
0x64L,STP             X19, X20, [SP,#0x40+var_30]
0x68L,STR             X0, [X29,#0x40+var_8]
0x6cL,STR             W1, [X29,#0x40+var_C]
0x70L,STR             X2, [X29,#0x40+var_18]
0x74L,STR             W3, [X29,#0x40+var_10]
0x78L,STR             W4, [X29,#0x40+var_1C]
0x7cL,LDR             X0, [X29,#0x40+var_18]
0x80L,LDR             W1, [X29,#0x40+var_10]
0x84L,LDR             W2, [X29,#0x40+var_1C]
0x88L,BL              sub_88
0x8cL,STR             W0, [X29,#0x4C]
0x90L,LDR             W0, [X29,#0x4C]
0x94L,CMP             W0, WZR
0x98L,B.EQ            loc_D0
0x9cL,BL              sub_9C
0xa0L,LDR             W19, [X0]
0xa4L,ADRP            X0, #chmod_or_fchmod@PAGE
0xa8L,ADD             X0, X0, #chmod_or_fchmod@PAGEOFF
0xacL,BL              sub_AC
0xb0L,MOV             X20, X0
0xb4L,LDR             X0, [X29,#0x28]
0xb8L,BL              sub_B8
0xbcL,MOV             X3, X0
0xc0L,MOV             W0, #0
0xc4L,MOV             W1, W19
0xc8L,MOV             X2, X20
0xccL,BL              sub_CC
0xd0L,LDR             W0, [X29,#0x4C]
0xd4L,LDP             X19, X20, [SP,#arg_10]
0xd8L,LDP             X29, X30, [SP+arg_0],#0x50
0xdcL,RET
0xe0L,STP             X29, X30, [SP,#-0x10+var_30]!
0xe4L,MOV             X29, SP
0xe8L,STP             X19, X20, [SP,#0x30+var_20]
0xecL,STR             X0, [X29,#0x30+var_8]
0xf0L,STR             W1, [X29,#0x30+var_C]
0xf4L,STR             W2, [X29,#0x30+var_10]
0xf8L,LDR             X0, [X29,#0x30+var_8]
0xfcL,LDR             W1, [X29,#0x30+var_C]
0x100L,LDR             W2, [X29,#0x30+var_10]
0x104L,BL              sub_104
0x108L,STR             W0, [X29,#0x3C]
0x10cL,LDR             W0, [X29,#0x3C]
0x110L,CMP             W0, WZR
0x114L,B.EQ            loc_14C
0x118L,BL              sub_118
0x11cL,LDR             W19, [X0]
0x120L,ADRP            X0, #chmod_or_fchmod@PAGE
0x124L,ADD             X0, X0, #chmod_or_fchmod@PAGEOFF
0x128L,BL              sub_128
0x12cL,MOV             X20, X0
0x130L,LDR             X0, [X29,#0x28]
0x134L,BL              sub_134
0x138L,MOV             X3, X0
0x13cL,MOV             W0, #0
0x140L,MOV             W1, W19
0x144L,MOV             X2, X20
0x148L,BL              sub_148
0x14cL,LDR             W0, [X29,#0x3C]
0x150L,LDP             X19, X20, [SP,#arg_10]
0x154L,LDP             X29, X30, [SP+arg_0],#0x40
0x158L,RET
0x0L,STP             X29, X30, [SP,#-0x10+var_30]!; Alternative name is '$x'
0x4L,MOV             X29, SP
0x8L,STR             X0, [X29,#0x30+var_18]
0xcL,LDR             X0, [X29,#0x30+var_18]
0x10L,ADD             X0, X0, #0x10
0x14L,STR             X0, [X29,#0x30+var_s8]
0x18L,LDR             X1, [X29,#0x30+var_s8]
0x1cL,LDR             X0, [X29,#0x30+var_18]
0x20L,CMP             X1, X0
0x24L,B.CC            loc_C0
0x28L,LDR             X0, [X29,#0x30+var_s8]
0x2cL,BL              sub_2C
0x30L,STR             X0, [X29,#0x30]
0x34L,LDR             X0, [X29,#0x30]
0x38L,CMP             X0, XZR
0x3cL,B.EQ            loc_C0
0x40L,LDR             X0, [X29,#0x30]
0x44L,ADD             X0, X0, #0x10
0x48L,STR             X0, [X29,#0x30]
0x4cL,LDR             X0, [X29,#0x30]
0x50L,SUB             X1, X0, #4
0x54L,MOV             W0, #0xFB4A
0x58L,MOVK            W0, #0x1415,LSL#16
0x5cL,STR             W0, [X1]
0x60L,LDR             X1, [X29,#0x30]
0x64L,MOV             X0, #0xFF00FF00FF00FF00
0x68L,ADD             X0, X0, #1
0x6cL,UMULH           X0, X1, X0
0x70L,UBFM            X2, X0, #8, #0x3F
0x74L,MOV             X0, X2
